,ID,ACADIAN REDFISH,ALEWIFE,ALLIGATORFISH,AMERICAN PLAICE,AMERICAN SAND LANCE,AMERICAN SHAD,ATLANTIC COD,ATLANTIC CROAKER,ATLANTIC CUTLASSFISH,ATLANTIC HAGFISH,ATLANTIC HALIBUT,ATLANTIC HERRING,ATLANTIC MACKEREL,ATLANTIC MENHADEN,ATLANTIC MIDSHIPMAN,ATLANTIC MOONFISH,ATLANTIC SILVERSIDE,ATLANTIC STURGEON,ATLANTIC TORPEDO,ATLANTIC WOLFFISH,BANDED DRUM,BANK BUTTERFLYFISH,BANK CUSK-EEL,BARNDOOR SKATE,BARRACUDA UNCL,BAY ANCHOVY,BEARDFISH,BLACK DRUM,BLACK SEA BASS,BLACKBELLY ROSEFISH,BLOTCHED CUSK-EEL,BLUEBACK HERRING,BLUEFISH,BLUNTHEAD PUFFER,BROAD FLOUNDER,BUCKLER DORY,BULLNOSE RAY,BUTTERFISH,CHAIN DOGFISH,CHUB MACKEREL,CLEARNOSE SKATE,COBIA,CONGER EEL,CUNNER,CUSK,DEEPBODY BOARFISH,DEEPWATER DAB,DEEPWATER FLOUNDER,DUSKY FLOUNDER,ETROPUS UNCL,FAWN CUSK-EEL,FOURBEARD ROCKLING,FOURSPOT FLOUNDER,GOOSEFISH,GRUBBY,GULF STREAM FLOUNDER,HADDOCK,HORNED WHIFF,INSHORE LIZARDFISH,LANCER STARGAZER,LEOPARD SEAROBIN,LING UNCL,LITTLE SKATE,LONGFIN HAKE,LONGHORN SCULPIN,LONGNOSE BATFISH,LONGNOSE GREENEYE,LONGSPINE SCORPIONFISH,LONGSPINE SNIPEFISH,MARBLED PUFFER,MOTTLED CUSK-EEL,MOUSTACHE SCULPIN,NORTHERN KINGFISH,NORTHERN PIPEFISH,NORTHERN PUFFER,NORTHERN SAND LANCE,NORTHERN SEAROBIN,OCEAN POUT,OFFSHORE HAKE,PARALICHTHYS UNCL,PIGFISH,PINFISH,POLLOCK,RED CORNETFISH,RED DORY,RED HAKE,ROCK GUNNEL,ROCK SEA BASS,ROSETTE SKATE,ROUGH SCAD,ROUGHHEAD GRENADIER,SAND PERCH,SCALLOPED HAMMERHEAD SHARK,SEA RAVEN,SHORTJAW LIZARDFISH,SHORTNOSE GREENEYE,SHORTSPINE BOARFISH,SHORTWING SEAROBIN,SILVER HAKE,SILVER PERCH,SILVER RAG,SILVER SEATROUT,SLENDER SNIPE EEL,SMALLMOUTH FLOUNDER,SMOOTH DOGFISH,SMOOTH SKATE,SNAKEFISH,SOUTHERN HAKE,SOUTHERN KINGFISH,SPINY BUTTERFLY RAY,SPINY SEAROBIN,SPOT,SPOTTED HAKE,SPOTTED TINSELFISH,STRIPED CUSK-EEL,STRIPED SEAROBIN,SUMMER FLOUNDER,TAUTOG,THORNY SKATE,THREE-EYE FLOUNDER,TILEFISH,TONGUEFISH UNCL,VIPERFISH,WEAKFISH,WEITZMANS PEARLSIDES,WESTERN SOFTHEAD GRENADIER,WHIFF UNCL,WHITE HAKE,WINDOWPANE,WINTER FLOUNDER,WINTER SKATE,WITCH FLOUNDER,WRYMOUTH,YELLOWTAIL FLOUNDER,lat,lon,dates,surf_temp,bot_temp,surf_salinity,bot_salinity,avg_depth,region
10,202302011400010012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.265167,-68.4165,2023-05-09,9.47,12.2,32.152,35.195,150.0,northeast
11,202302011400020015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.439833,-68.026,2023-05-10,8.3,11.56,32.304,34.952,142.0,northeast
12,202302011400030013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.529833,-67.5315,2023-05-10,8.47,12.06,32.48,34.774,124.0,northeast
13,202302011500010022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.728167,-66.824833,2023-05-12,8.85,12.05,32.631,35.212,210.0,northeast
14,202302011500020014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40.333,-67.790333,2023-05-10,9.21,10.35,32.715,35.308,246.0,northeast
15,202302011500030021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.644833,-66.974667,2023-05-11,8.31,11.38,32.446,35.191,196.0,northeast
16,202302011600010025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,40.919167,-66.8265,2023-05-12,9.7,7.53,32.556,33.121,92.0,northeast
17,202302011600020026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41.006833,-66.864667,2023-05-12,10.32,7.64,32.803,32.937,74.0,northeast
18,202302011600030029,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41.0995,-66.5305,2023-05-13,8.92,7.56,32.39,33.242,94.0,northeast
19,202302011600040027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41.091667,-66.794667,2023-05-12,9.89,7.42,32.684,32.99,73.0,northeast
