"species","species_pretty","status"
"spotted_ratfish_cpue_numbers_per_ha_der","Spotted Ratfish","passed"
"starry_flounder_cpue_numbers_per_ha_der","Starry Flounder","passed"
"starry_skate_cpue_numbers_per_ha_der","Starry Skate","passed"
"stripetail_rockfish_cpue_numbers_per_ha_der","Stripetail Rockfish","passed"
"threadfin_sculpin_cpue_numbers_per_ha_der","Threadfin Sculpin","passed"
"threadfin_slickhead_cpue_numbers_per_ha_der","Threadfin Slickhead","passed"
"twoline_eelpout_cpue_numbers_per_ha_der","Twoline Eelpout","passed"
"vermilion_and_sunset_rockfish_cpue_numbers_per_ha_der","Vermilion and Sunset Rockfish","passed"
"white_croaker_cpue_numbers_per_ha_der","White Croaker","passed"
"widow_rockfish_cpue_numbers_per_ha_der","Widow Rockfish","passed"
"yelloweye_rockfish_cpue_numbers_per_ha_der","Yelloweye Rockfish","passed"
"yellowtail_rockfish_cpue_numbers_per_ha_der","Yellowtail Rockfish","passed"
